,Country names,DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
153,EU27_2020,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EU27_2020,2019,6.8,
154,EU27_2020,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EU27_2020,2020,7.2,
155,EU27_2020,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,EU27_2020,2021,7.0,
156,Finland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FI,2010,8.6,
157,Finland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FI,2011,8.0,
158,Finland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FI,2012,7.9,
159,Finland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FI,2013,8.3,
160,Finland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FI,2014,8.7,
161,Finland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FI,2015,9.4,
162,Finland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FI,2016,8.9,
163,Finland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FI,2017,8.7,
164,Finland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FI,2018,7.5,
165,Finland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FI,2019,6.8,
166,Finland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FI,2020,7.7,
167,Finland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FI,2021,7.7,
168,France,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FR,2010,9.3,
169,France,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FR,2011,9.2,
170,France,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FR,2012,9.8,
171,France,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FR,2013,10.3,
172,France,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FR,2014,10.3,
173,France,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FR,2015,10.3,
174,France,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FR,2016,10.1,
175,France,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FR,2017,9.4,
176,France,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FR,2018,9.0,
177,France,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FR,2019,8.4,
178,France,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FR,2020,8.0,
179,France,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,FR,2021,7.9,d
180,Croatia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HR,2010,11.7,
181,Croatia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HR,2011,13.7,
182,Croatia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HR,2012,16.0,
183,Croatia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HR,2013,17.3,
184,Croatia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HR,2014,17.3,
185,Croatia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HR,2015,16.2,
